Cancer site,Sex,Age,Years,RegionID,Region,5-year RSR (%),SE,Lower 95%CI,Upper 95%CI
Bladder,Females,60 to 69,2014-18,3501.0,Erie St Clair,79.5,8.4,56.9,91.1
Bladder,Females,60 to 69,2014-18,3502.0,South West,80.8,6.3,64.6,90.2
Bladder,Females,60 to 69,2014-18,3503.0,Waterloo Wellington,80.9,7.1,62.1,91
Bladder,Females,60 to 69,2014-18,3504.0,Hamilton Niagara Haldimand Brant,76.7,5.7,63.1,85.8
Bladder,Females,60 to 69,2014-18,3505.0,Central West,84.7,8.9,56.5,95.3
Bladder,Females,60 to 69,2014-18,3506.0,Mississauga Halton,86.9,6.3,67.9,95
Bladder,Females,60 to 69,2014-18,3507.0,Toronto Central,87.2,6,69.3,95
Bladder,Females,60 to 69,2014-18,3508.0,Central,96.4,3.6,76.7,99.5
Bladder,Females,60 to 69,2014-18,3509.0,Central East,80.6,5.5,66.8,89.1
Bladder,Females,60 to 69,2014-18,3510.0,South East,85.3,6.6,66.2,94.1
Bladder,Females,60 to 69,2014-18,3511.0,Champlain,81.8,5.2,68.8,89.8
Bladder,Females,60 to 69,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Bladder,Females,60 to 69,2014-18,3513.0,North East,86.7,6.6,66.7,95.1
Bladder,Females,60 to 69,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,60 to 69,2014-18,35.0,Ontario,84.1,1.8,80.3,87.2
Bladder,Both sexes,70 to 79,2014-18,3501.0,Erie St Clair,73.2,4.3,63.8,80.6
Bladder,Both sexes,70 to 79,2014-18,3502.0,South West,78.1,3.5,70.3,84.1
Bladder,Both sexes,70 to 79,2014-18,3503.0,Waterloo Wellington,80.7,4.5,70,88
Bladder,Both sexes,70 to 79,2014-18,3504.0,Hamilton Niagara Haldimand Brant,77.4,2.8,71.2,82.4
Bladder,Both sexes,70 to 79,2014-18,3505.0,Central West,87.9,4.3,76.3,94
Bladder,Both sexes,70 to 79,2014-18,3506.0,Mississauga Halton,80.5,4.2,70.8,87.3
Bladder,Both sexes,70 to 79,2014-18,3507.0,Toronto Central,76.1,4,67.1,83
Bladder,Both sexes,70 to 79,2014-18,3508.0,Central,77.4,3.2,70.4,82.9
Bladder,Both sexes,70 to 79,2014-18,3509.0,Central East,79.3,3,72.7,84.5
Bladder,Both sexes,70 to 79,2014-18,3510.0,South East,78.3,4.5,68,85.6
Bladder,Both sexes,70 to 79,2014-18,3511.0,Champlain,79,3.1,72,84.4
Bladder,Both sexes,70 to 79,2014-18,3512.0,North Simcoe Muskoka,79.8,3.9,70.9,86.3
Bladder,Both sexes,70 to 79,2014-18,3513.0,North East,68.8,4.1,60,76.1
Bladder,Both sexes,70 to 79,2014-18,3514.0,North West,67,8,48.8,80
Bladder,Both sexes,70 to 79,2014-18,35.0,Ontario,78.3,1,76.2,80.2
Bladder,Males,70 to 79,2014-18,3501.0,Erie St Clair,73.8,4.9,62.7,82.1
Bladder,Males,70 to 79,2014-18,3502.0,South West,79.6,4.1,70.2,86.3
Bladder,Males,70 to 79,2014-18,3503.0,Waterloo Wellington,82.5,5.2,69.3,90.4
Bladder,Males,70 to 79,2014-18,3504.0,Hamilton Niagara Haldimand Brant,78.9,3.2,71.7,84.5
Bladder,Males,70 to 79,2014-18,3505.0,Central West,89.1,4.9,74.5,95.6
Bladder,Males,70 to 79,2014-18,3506.0,Mississauga Halton,81.2,4.9,69.3,88.8
Bladder,Males,70 to 79,2014-18,3507.0,Toronto Central,71.8,4.7,61.5,79.9
Bladder,Males,70 to 79,2014-18,3508.0,Central,77.7,3.7,69.5,84
Bladder,Males,70 to 79,2014-18,3509.0,Central East,80.1,3.4,72.4,85.9
Bladder,Males,70 to 79,2014-18,3510.0,South East,75.8,5.1,64.1,84.1
Bladder,Males,70 to 79,2014-18,3511.0,Champlain,81.4,3.6,73.2,87.4
Bladder,Males,70 to 79,2014-18,3512.0,North Simcoe Muskoka,76.9,5,65.3,85.1
Bladder,Males,70 to 79,2014-18,3513.0,North East,70.6,4.7,60.2,78.7
Bladder,Males,70 to 79,2014-18,3514.0,North West,65.6,9,45.1,80
Bladder,Males,70 to 79,2014-18,35.0,Ontario,78.9,1.2,76.5,81.1
Bladder,Females,70 to 79,2014-18,3501.0,Erie St Clair,69.7,8.9,48.6,83.4
Bladder,Females,70 to 79,2014-18,3502.0,South West,73.3,6.8,57.4,84.1
Bladder,Females,70 to 79,2014-18,3503.0,Waterloo Wellington,73.4,9.1,50.8,86.8
Bladder,Females,70 to 79,2014-18,3504.0,Hamilton Niagara Haldimand Brant,71.5,6,57.9,81.4
Bladder,Females,70 to 79,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,70 to 79,2014-18,3506.0,Mississauga Halton,77.7,7.8,57.6,89.1
Bladder,Females,70 to 79,2014-18,3507.0,Toronto Central,88,4.6,75.1,94.4
Bladder,Females,70 to 79,2014-18,3508.0,Central,75.2,6.2,60.6,85.1
Bladder,Females,70 to 79,2014-18,3509.0,Central East,75.8,6,61.6,85.3
Bladder,Females,70 to 79,2014-18,3510.0,South East,81.7,9.1,55,93.4
Bladder,Females,70 to 79,2014-18,3511.0,Champlain,69,6.1,55.3,79.3
Bladder,Females,70 to 79,2014-18,3512.0,North Simcoe Muskoka,87.9,5.9,70,95.4
Bladder,Females,70 to 79,2014-18,3513.0,North East,61.6,8.4,43.1,75.7
Bladder,Females,70 to 79,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,70 to 79,2014-18,35.0,Ontario,75.9,2.1,71.5,79.6
Bladder,Both sexes,80 plus,2014-18,3501.0,Erie St Clair,58,6.2,45,69
Bladder,Both sexes,80 plus,2014-18,3502.0,South West,66,5.7,53.4,75.9
Bladder,Both sexes,80 plus,2014-18,3503.0,Waterloo Wellington,70.5,7.3,53.6,82.3
Bladder,Both sexes,80 plus,2014-18,3504.0,Hamilton Niagara Haldimand Brant,66.6,4.5,57,74.5
Bladder,Both sexes,80 plus,2014-18,3505.0,Central West,78,8.3,56.1,89.9
Bladder,Both sexes,80 plus,2014-18,3506.0,Mississauga Halton,62.9,5.6,51,72.7
Bladder,Both sexes,80 plus,2014-18,3507.0,Toronto Central,62.4,5.1,51.5,71.5
Bladder,Both sexes,80 plus,2014-18,3508.0,Central,73.5,4.6,63.3,81.3
Bladder,Both sexes,80 plus,2014-18,3509.0,Central East,62.3,4.4,52.9,70.3
Bladder,Both sexes,80 plus,2014-18,3510.0,South East,55.9,6.4,42.5,67.4
Bladder,Both sexes,80 plus,2014-18,3511.0,Champlain,72.6,4.9,61.5,81
Bladder,Both sexes,80 plus,2014-18,3512.0,North Simcoe Muskoka,49.8,7,35.6,62.5
Bladder,Both sexes,80 plus,2014-18,3513.0,North East,55.6,6.4,42.3,67
Bladder,Both sexes,80 plus,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Bladder,Both sexes,80 plus,2014-18,35.0,Ontario,65.7,1.6,62.5,68.7
Bladder,Males,80 plus,2014-18,3501.0,Erie St Clair,61.6,7.3,45.8,74.1
Bladder,Males,80 plus,2014-18,3502.0,South West,66.8,6.9,51.5,78.2
Bladder,Males,80 plus,2014-18,3503.0,Waterloo Wellington,68.8,8.6,48.7,82.3
Bladder,Males,80 plus,2014-18,3504.0,Hamilton Niagara Haldimand Brant,69.2,5.3,57.4,78.4
Bladder,Males,80 plus,2014-18,3505.0,Central West,73.5,9.7,49,87.5
Bladder,Males,80 plus,2014-18,3506.0,Mississauga Halton,64.6,6.6,50.1,75.8
Bladder,Males,80 plus,2014-18,3507.0,Toronto Central,60.9,6.2,47.6,71.7
Bladder,Males,80 plus,2014-18,3508.0,Central,75.9,5.5,63,84.9
Bladder,Males,80 plus,2014-18,3509.0,Central East,66.3,5.2,55.1,75.4
Bladder,Males,80 plus,2014-18,3510.0,South East,54.7,7.7,38.6,68.3
Bladder,Males,80 plus,2014-18,3511.0,Champlain,72.9,6.2,58.6,83
Bladder,Males,80 plus,2014-18,3512.0,North Simcoe Muskoka,50.1,7.9,33.9,64.2
Bladder,Males,80 plus,2014-18,3513.0,North East,57.5,7.7,41.1,70.8
Bladder,Males,80 plus,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Bladder,Males,80 plus,2014-18,35.0,Ontario,67.1,1.9,63.2,70.7
Bladder,Females,80 plus,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3503.0,Waterloo Wellington,67.9,8.1,49.2,80.9
Bladder,Females,80 plus,2014-18,3504.0,Hamilton Niagara Haldimand Brant,55.6,7.4,40,68.6
Bladder,Females,80 plus,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3507.0,Toronto Central,58.8,7.2,43.4,71.4
Bladder,Females,80 plus,2014-18,3508.0,Central,64,7,48.5,75.9
Bladder,Females,80 plus,2014-18,3509.0,Central East,44.3,8.3,27.8,59.6
Bladder,Females,80 plus,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3511.0,Champlain,65.5,7.8,48,78.3
Bladder,Females,80 plus,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Bladder,Females,80 plus,2014-18,35.0,Ontario,60.8,2.7,55.3,66
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,29.2,2.7,24,34.6
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3505.0,Central West,31.1,3.7,24,38.5
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3507.0,Toronto Central,33.2,2.9,27.6,38.8
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3508.0,Central,32.7,2.4,28,37.5
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,all ages (15 to 99),2014-18,35.0,Ontario,30.6,0.9,28.9,32.4
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,all ages (15 to 99),2014-18,35.0,Ontario,29,1.2,26.8,31.3
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,28.8,4.2,20.9,37.2
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3508.0,Central,36.2,3.8,28.8,43.6
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,all ages (15 to 99),2014-18,35.0,Ontario,32.8,1.5,30,35.7
Brain & other nervous system,Both sexes,15 to 29,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3506.0,Mississauga Halton,100,0,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3507.0,Toronto Central,90,6.8,64.9,97.5
Brain & other nervous system,Both sexes,15 to 29,2014-18,3508.0,Central,80.8,8.8,55.9,92.5
Brain & other nervous system,Both sexes,15 to 29,2014-18,3509.0,Central East,83.5,9,56,94.5
Brain & other nervous system,Both sexes,15 to 29,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,15 to 29,2014-18,35.0,Ontario,78.8,3.3,71.4,84.5
Brain & other nervous system,Males,15 to 29,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3507.0,Toronto Central,100,0,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,15 to 29,2014-18,35.0,Ontario,79.4,4.2,69.6,86.3
Brain & other nervous system,Females,15 to 29,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,15 to 29,2014-18,35.0,Ontario,78.1,5.3,65.6,86.6
Brain & other nervous system,Both sexes,30 to 39,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3507.0,Toronto Central,81,8.8,56,92.7
Brain & other nervous system,Both sexes,30 to 39,2014-18,3508.0,Central,90.1,6.9,64.5,97.5
Brain & other nervous system,Both sexes,30 to 39,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,30 to 39,2014-18,35.0,Ontario,67.4,3.7,59.6,73.9
Brain & other nervous system,Males,30 to 39,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,30 to 39,2014-18,35.0,Ontario,68.9,5.1,57.8,77.7
Brain & other nervous system,Females,30 to 39,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3511.0,Champlain,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Females,30 to 39,2014-18,35.0,Ontario,64.9,5.4,53.2,74.3
Brain & other nervous system,Both sexes,40 to 49,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3504.0,Hamilton Niagara Haldimand Brant,42.3,8.9,24.9,58.8
Brain & other nervous system,Both sexes,40 to 49,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3508.0,Central,49.1,8.3,32.2,64
Brain & other nervous system,Both sexes,40 to 49,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3510.0,South East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3511.0,Champlain,19.8,7.9,7.2,36.9
Brain & other nervous system,Both sexes,40 to 49,2014-18,3512.0,North Simcoe Muskoka,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3513.0,North East,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,3514.0,North West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Both sexes,40 to 49,2014-18,35.0,Ontario,42.5,3.2,36.2,48.7
Brain & other nervous system,Males,40 to 49,2014-18,3501.0,Erie St Clair,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3502.0,South West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3503.0,Waterloo Wellington,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3504.0,Hamilton Niagara Haldimand Brant,44.3,10,24.6,62.3
Brain & other nervous system,Males,40 to 49,2014-18,3505.0,Central West,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3506.0,Mississauga Halton,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3507.0,Toronto Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3508.0,Central,suppressed,suppressed,suppressed,suppressed
Brain & other nervous system,Males,40 to 49,2014-18,3509.0,Central East,suppressed,suppressed,suppressed,suppressed
