"REF_DATE","GEO","DGUID","Sex","Primary types of cancer ","Trends","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Fourth trend","End year of period","Number","223","units","0","v1299911187","1.1.32.4.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911190","1.1.32.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Fifth trend","Start year of period","Number","223","units","0","v1299911191","1.1.32.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Fifth trend","End year of period","Number","223","units","0","v1299911192","1.1.32.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911195","1.1.32.6.1","-1.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Latest trend","Start year of period","Number","223","units","0","v1299911196","1.1.32.6.2","2015","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Latest trend","End year of period","Number","223","units","0","v1299911197","1.1.32.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911200","1.1.32.7.1","-2.1","","","","1"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911201","1.1.32.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend since 1984","End year of period","Number","223","units","0","v1299911202","1.1.32.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911205","1.1.32.8.1","3.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911206","1.1.32.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Chronic myeloid leukemia","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911207","1.1.32.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911210","1.2.1.1.1","0.6","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","First trend","Start year of period","Number","223","units","0","v1299911211","1.2.1.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","First trend","End year of period","Number","223","units","0","v1299911212","1.2.1.1.3","1988","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911215","1.2.1.2.1","-0.8","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Second trend","Start year of period","Number","223","units","0","v1299911216","1.2.1.2.2","1988","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Second trend","End year of period","Number","223","units","0","v1299911217","1.2.1.2.3","2001","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911220","1.2.1.3.1","-1.8","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Third trend","Start year of period","Number","223","units","0","v1299911221","1.2.1.3.2","2001","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Third trend","End year of period","Number","223","units","0","v1299911222","1.2.1.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911225","1.2.1.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fourth trend","Start year of period","Number","223","units","0","v1299911226","1.2.1.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fourth trend","End year of period","Number","223","units","0","v1299911227","1.2.1.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911230","1.2.1.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fifth trend","Start year of period","Number","223","units","0","v1299911231","1.2.1.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Fifth trend","End year of period","Number","223","units","0","v1299911232","1.2.1.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911235","1.2.1.6.1","-1.8","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Latest trend","Start year of period","Number","223","units","0","v1299911236","1.2.1.6.2","2001","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Latest trend","End year of period","Number","223","units","0","v1299911237","1.2.1.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911240","1.2.1.7.1","-1.2","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911241","1.2.1.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend since 1984","End year of period","Number","223","units","0","v1299911242","1.2.1.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911245","1.2.1.8.1","-1.8","","","","1"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911246","1.2.1.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Total, all primary sites of cancer","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911247","1.2.1.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911250","1.2.2.1.1","-0.6","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","First trend","Start year of period","Number","223","units","0","v1299911251","1.2.2.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","First trend","End year of period","Number","223","units","0","v1299911252","1.2.2.1.3","1991","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911255","1.2.2.2.1","-2.8","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Second trend","Start year of period","Number","223","units","0","v1299911256","1.2.2.2.2","1991","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Second trend","End year of period","Number","223","units","0","v1299911257","1.2.2.2.3","2009","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911260","1.2.2.3.1","-0.4","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Third trend","Start year of period","Number","223","units","0","v1299911261","1.2.2.3.2","2009","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Third trend","End year of period","Number","223","units","0","v1299911262","1.2.2.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911265","1.2.2.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Fourth trend","Start year of period","Number","223","units","0","v1299911266","1.2.2.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Fourth trend","End year of period","Number","223","units","0","v1299911267","1.2.2.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911270","1.2.2.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Fifth trend","Start year of period","Number","223","units","0","v1299911271","1.2.2.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Fifth trend","End year of period","Number","223","units","0","v1299911272","1.2.2.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911275","1.2.2.6.1","-0.4","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Latest trend","Start year of period","Number","223","units","0","v1299911276","1.2.2.6.2","2009","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Latest trend","End year of period","Number","223","units","0","v1299911277","1.2.2.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911280","1.2.2.7.1","-1.6","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911281","1.2.2.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend since 1984","End year of period","Number","223","units","0","v1299911282","1.2.2.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911285","1.2.2.8.1","-0.4","","","","1"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911286","1.2.2.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Head and neck","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911287","1.2.2.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911290","1.2.3.1.1","0.9","","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","First trend","Start year of period","Number","223","units","0","v1299911291","1.2.3.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","First trend","End year of period","Number","223","units","0","v1299911292","1.2.3.1.3","2001","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911295","1.2.3.2.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Second trend","Start year of period","Number","223","units","0","v1299911296","1.2.3.2.2","2001","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Second trend","End year of period","Number","223","units","0","v1299911297","1.2.3.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911300","1.2.3.3.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Third trend","Start year of period","Number","223","units","0","v1299911301","1.2.3.3.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Third trend","End year of period","Number","223","units","0","v1299911302","1.2.3.3.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911305","1.2.3.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Fourth trend","Start year of period","Number","223","units","0","v1299911306","1.2.3.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Fourth trend","End year of period","Number","223","units","0","v1299911307","1.2.3.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911310","1.2.3.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Fifth trend","Start year of period","Number","223","units","0","v1299911311","1.2.3.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Fifth trend","End year of period","Number","223","units","0","v1299911312","1.2.3.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911315","1.2.3.6.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Latest trend","Start year of period","Number","223","units","0","v1299911316","1.2.3.6.2","2001","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Latest trend","End year of period","Number","223","units","0","v1299911317","1.2.3.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911320","1.2.3.7.1","0.2","","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911321","1.2.3.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend since 1984","End year of period","Number","223","units","0","v1299911322","1.2.3.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911325","1.2.3.8.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911326","1.2.3.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Esophagus","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911327","1.2.3.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911330","1.2.4.1.1","-3.3","","","","1"
"2021","Canada","2016A000011124","Males","Stomach","First trend","Start year of period","Number","223","units","0","v1299911331","1.2.4.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","First trend","End year of period","Number","223","units","0","v1299911332","1.2.4.1.3","2012","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911335","1.2.4.2.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Second trend","Start year of period","Number","223","units","0","v1299911336","1.2.4.2.2","2012","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Second trend","End year of period","Number","223","units","0","v1299911337","1.2.4.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911340","1.2.4.3.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Third trend","Start year of period","Number","223","units","0","v1299911341","1.2.4.3.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Third trend","End year of period","Number","223","units","0","v1299911342","1.2.4.3.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911345","1.2.4.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Fourth trend","Start year of period","Number","223","units","0","v1299911346","1.2.4.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Fourth trend","End year of period","Number","223","units","0","v1299911347","1.2.4.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911350","1.2.4.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Fifth trend","Start year of period","Number","223","units","0","v1299911351","1.2.4.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Fifth trend","End year of period","Number","223","units","0","v1299911352","1.2.4.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911355","1.2.4.6.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Latest trend","Start year of period","Number","223","units","0","v1299911356","1.2.4.6.2","2012","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Latest trend","End year of period","Number","223","units","0","v1299911357","1.2.4.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911360","1.2.4.7.1","-3.0","","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911361","1.2.4.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend since 1984","End year of period","Number","223","units","0","v1299911362","1.2.4.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911365","1.2.4.8.1","-2.1","","","","1"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911366","1.2.4.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Stomach","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911367","1.2.4.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911370","1.2.5.1.1","1.0","","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","First trend","Start year of period","Number","223","units","0","v1299911371","1.2.5.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","First trend","End year of period","Number","223","units","0","v1299911372","1.2.5.1.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911375","1.2.5.2.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Second trend","Start year of period","Number","223","units","0","v1299911376","1.2.5.2.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Second trend","End year of period","Number","223","units","0","v1299911377","1.2.5.2.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911380","1.2.5.3.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Third trend","Start year of period","Number","223","units","0","v1299911381","1.2.5.3.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Third trend","End year of period","Number","223","units","0","v1299911382","1.2.5.3.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911385","1.2.5.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Fourth trend","Start year of period","Number","223","units","0","v1299911386","1.2.5.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Fourth trend","End year of period","Number","223","units","0","v1299911387","1.2.5.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911390","1.2.5.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Fifth trend","Start year of period","Number","223","units","0","v1299911391","1.2.5.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Fifth trend","End year of period","Number","223","units","0","v1299911392","1.2.5.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911395","1.2.5.6.1","1.0","","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Latest trend","Start year of period","Number","223","units","0","v1299911396","1.2.5.6.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Latest trend","End year of period","Number","223","units","0","v1299911397","1.2.5.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911400","1.2.5.7.1","1.0","","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911401","1.2.5.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend since 1984","End year of period","Number","223","units","0","v1299911402","1.2.5.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911405","1.2.5.8.1","1.0","","","","1"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911406","1.2.5.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Small intestine","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911407","1.2.5.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911410","1.2.6.1.1","-1.0","","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","First trend","Start year of period","Number","223","units","0","v1299911411","1.2.6.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","First trend","End year of period","Number","223","units","0","v1299911412","1.2.6.1.3","2004","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911415","1.2.6.2.1","-2.4","","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Second trend","Start year of period","Number","223","units","0","v1299911416","1.2.6.2.2","2004","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Second trend","End year of period","Number","223","units","0","v1299911417","1.2.6.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911420","1.2.6.3.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Third trend","Start year of period","Number","223","units","0","v1299911421","1.2.6.3.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Third trend","End year of period","Number","223","units","0","v1299911422","1.2.6.3.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911425","1.2.6.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fourth trend","Start year of period","Number","223","units","0","v1299911426","1.2.6.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fourth trend","End year of period","Number","223","units","0","v1299911427","1.2.6.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911430","1.2.6.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fifth trend","Start year of period","Number","223","units","0","v1299911431","1.2.6.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Fifth trend","End year of period","Number","223","units","0","v1299911432","1.2.6.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911435","1.2.6.6.1","-2.4","","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Latest trend","Start year of period","Number","223","units","0","v1299911436","1.2.6.6.2","2004","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Latest trend","End year of period","Number","223","units","0","v1299911437","1.2.6.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911440","1.2.6.7.1","-1.6","","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911441","1.2.6.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend since 1984","End year of period","Number","223","units","0","v1299911442","1.2.6.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911445","1.2.6.8.1","-2.4","","","","1"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911446","1.2.6.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Colon and rectum","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911447","1.2.6.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911450","1.2.7.1.1","-0.6","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","First trend","Start year of period","Number","223","units","0","v1299911451","1.2.7.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","First trend","End year of period","Number","223","units","0","v1299911452","1.2.7.1.3","2001","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299911455","1.2.7.2.1","-2.8","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Second trend","Start year of period","Number","223","units","0","v1299911456","1.2.7.2.2","2001","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Second trend","End year of period","Number","223","units","0","v1299911457","1.2.7.2.3","2014","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299911460","1.2.7.3.1","-4.4","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Third trend","Start year of period","Number","223","units","0","v1299911461","1.2.7.3.2","2014","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Third trend","End year of period","Number","223","units","0","v1299911462","1.2.7.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911465","1.2.7.4.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fourth trend","Start year of period","Number","223","units","0","v1299911466","1.2.7.4.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fourth trend","End year of period","Number","223","units","0","v1299911467","1.2.7.4.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299911470","1.2.7.5.1","","..","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fifth trend","Start year of period","Number","223","units","0","v1299911471","1.2.7.5.2","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Fifth trend","End year of period","Number","223","units","0","v1299911472","1.2.7.5.3","","..","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299911475","1.2.7.6.1","-4.4","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Latest trend","Start year of period","Number","223","units","0","v1299911476","1.2.7.6.2","2014","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Latest trend","End year of period","Number","223","units","0","v1299911477","1.2.7.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299911480","1.2.7.7.1","-2.1","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend since 1984","Start year of period","Number","223","units","0","v1299911481","1.2.7.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend since 1984","End year of period","Number","223","units","0","v1299911482","1.2.7.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299911485","1.2.7.8.1","-3.9","","","","1"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299911486","1.2.7.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Males","Colon excluding rectum","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299911487","1.2.7.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Males","Rectum and rectosigmoid","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299911490","1.2.8.1.1","-2.4","","","","1"
"2021","Canada","2016A000011124","Males","Rectum and rectosigmoid","First trend","Start year of period","Number","223","units","0","v1299911491","1.2.8.1.2","1984","","","","0"
